爱|ài|yêu / yêu
掉|diào|mất, thất lạc
地图|dìtú|bản đồ
地址|dìzhǐ|Địa chỉ
东|dōng|phía đông
对面|duìmiàn|đối diện
肚子/肚|dùzi/dù|bụng, dạ dày
饭店|fàndiàn|khách sạn
饭厅|fàntīng|phòng ăn
房租|fángzū|tiền thuê phòng hoặc nhà
房东|fángdōng|Chủ nhà
法文|Fǎwén|Tiếng Pháp (ngôn ngữ)
飞|fēi|bay
风景|fēngjǐng|cảnh quan, phong cảnh
付|fù|để trả tiền
公共汽车|gōnggòngqìchē|xe buýt
挂|guà|để treo
关|guān|Đóng lại, tắt đi, tắt máy
罐子/罐|guànzi/guàn|罐 [guàn] can/jar/pot<br> 罐子 [guànzi] jar/bình/nồi
过年|guònián|để dành thời gian nghỉ Tết Nguyên đán, để ăn mừng Tết Trung Quốc
果汁|guǒzhī|nước ép
汉堡|hànbǎo|bánh hamburger
号码|hàomǎ|con số
河|hé|dòng sông
盒子/盒|hézi/hé|hộp
红茶|hóngchá|trà đen
坏|huài|xấu / hỏng, hư hỏng
火腿|huǒtuǐ|giăm bông
护士|hùshì|y tá
寄|jì|gửi, thư
见面|jiànmiàn|để gặp gỡ, để nhìn thấy nhau
交|jiāo|Kết bạn / Cho, trả tiền, giao hàng, chuyển giao
脚踏车|jiǎotàchē|xe đạp, xe đạp
饺子/饺|jiǎozi/jiǎo|bánh bao
加油|jiāyóu|làm cho ai đó vui lên
机场|jīchǎng|sân bay, bãi đáp máy bay
街|jiē|đường phố
借|jiè|vay mượn, cho vay
开学|kāixué|Học kỳ mới bắt đầu, quay trở lại trường học
考|kǎo|tổ chức hoặc tham gia kỳ thi
烤|kǎo|nướng, rang
渴|kě|khát
可乐|kělè|cola
课本|kèběn|sách giáo khoa
客气|kèqì|lịch sự, nhã nhặn, trang trọng
客厅|kètīng|phòng khách
空|kòng|thời gian rảnh / chưa sử dụng, trống
裤子/裤|kùzi/kù|quần dài, quần tây
辣|là|cay
蓝|lán|màu xanh da trời
篮球|lánqiú|bóng rổ
冷气|lěngqì|máy điều hòa không khí
礼拜|lǐbài|tuần (thuật ngữ được sử dụng ở Đài Loan)
零|líng|số không
楼上|lóushàng|tầng trên
楼梯|lóutī|cầu thang, bậc thang
楼下|lóuxià|tầng dưới
旅馆|lǚguǎn|khách sạn, nhà trọ
路口|lùkǒu|giao lộ (của các con đường)
麻烦|máfán|phiền phức, khó chịu, bất tiện / làm phiền, gây khó chịu, khiến ai đó gặp rắc rối
马路|mǎlù|đường, phố
馒头|mántou|bánh bao hấp, bánh cuốn hấp, bánh mì hấp
慢跑|mànpǎo|chạy bộ
帽子/帽|màozi/mào|mũ, nón
门票|ménpiào|vé
奶茶|nǎichá|trà sữa
奶奶|nǎinai|bà, cụ bà
难过|nánguò|buồn bã, cảm thấy tồi tệ
男生|nánshēng|nam, đàn ông, cậu bé
年级|niánjí|cấp
念书|niànshū|để học tập
女生|nǚshēng|cô gái, nữ, phụ nữ
盘子/盘|pánzi/pán|đĩa, khay/máy phân loại đĩa
跑步|pǎobù|chạy / đang chạy
皮包|píbāo|ví, túi xách
啤酒|píjiǔ|bia
苹果|píngguǒ|quả táo
瓶子/瓶|píngzi/píng|cái chai
钱包|qiánbāo|ví, túi xách
轻|qīng|ánh sáng
青菜|qīngcài|rau quả
汽水|qìshuǐ|nước ngọt, đồ uống có ga
秋天/秋|qiūtiān/qiū|mùa thu, mùa lá rụng
裙子/裙|qúnzi/qún|váy ngắn
热狗|règǒu|xúc xích
日文|Rìwén|Tiếng Nhật (ngôn ngữ)
日语|Rìyǔ|tiếng Nhật giao tiếp
三明治|sānmíngzhì|sandwich
色|sè|màu sắc
商店|shāngdiàn|cửa hàng, tiệm
上班|shàngbān|đi làm, làm nhiệm vụ, đến văn phòng
上网|shàngwǎng|trực tuyến, để lướt mạng
上学|shàngxué|đi học, đến trường, có mặt ở trường
生气|shēngqì|tức giận
十字路口|shízìlùkǒu|ngã tư, giao lộ
市|shì|quận hành chính, khu vực hành chính
室友|shìyǒu|bạn cùng phòng
手表/手表/表/表|shǒubiǎo/biǎo|đồng hồ, đồng hồ đeo tay
书包|shūbāo|cặp sách, túi xách
书店|shūdiàn|hiệu sách
书房|shūfáng|học
叔叔/叔|shúshu/shú|chú 
司机|sījī|tài xế, lái xe
酸|suān|chua
宿舍|sùshè|ký túc xá, phòng ký túc xá
汤匙|tāngchí|thìa, thìa canh, muỗng canh
糖|táng|đường, kẹo
踢|tī|đá
甜点|tiándiǎn|món tráng miệng
头发/发|tóufǎ/fǎ|tóc (trên đầu)
脱|tuō|cởi (quần áo), cởi bỏ
图书馆|túshūguǎn|thư viện
外套|wàitào|áo khoác, áo vest
忘|wàng|quên
网球|wǎngqiú|quả bóng tennis
网站|wǎngzhàn|trang web, trạm mạng, nút
喂|wéi|Từ nối trong giao tiếp: xin chào (khi trả lời điện thoại)
下班|xiàbān|hoàn thành công việc, tan ca làm việc
咸|xián|mặn
香蕉|xiāngjiāo|chuối
小学|xiǎoxué|trường tiểu học, trường mẫu giáo
下雪|xiàxuě|tuyết
西瓜|xīguā|dưa hấu
新年|xīnnián|Năm mới
信用卡|xìnyòngkǎ|thẻ tín dụng
洗手间|xǐshǒujiān|nhà vệ sinh, phòng tắm, nhà vệ sinh
洗澡|xǐzǎo|tắm bồn, tắm vòi sen
雪|xuě|tuyết
眼镜|yǎnjìng|kính mắt, kính đeo mắt, kính đeo
要是|yàoshì|nếu, giả sử
爷爷|yéye|ông nội, ông già
野餐|yěcān|đi dã ngoại
夜市|yèshì|chợ đêm
一会/一会儿|yīhuǐ/yīhuǐr|một lúc, một lúc, trong chốc lát
一块/一块儿|yīkuài/yīkuàir|cùng nhau, với
英语|Yīngyǔ|tiếng Anh giao tiếp
用功|yònggōng|siêng năng, học hành chăm chỉ, nỗ lực hết mình
游|yóu|bơi
邮局|yóujú|bưu điện
邮票|yóupiào|con tem
游泳|yóuyǒng|bơi lội
游泳池|yóuyǒngchí|hồ bơi
有空|yǒukòng|để có thời gian rảnh
有名|yǒumíng|nổi tiếng, được biết đến rộng rãi
有钱|yǒuqián|giàu có, sung túc
有意思|yǒuyìsi|thú vị, hấp dẫn
有用|yǒuyòng|hữu ích
炸|zhá|chiên ngập dầu
照相|zhàoxiàng|chụp ảnh
周日|Zhōurì|Chủ nhật
周一|Zhōuyī|Thứ hai
祝|zhù|để ước
字典|zìdiǎn|từ điển, từ điển ký tự
租|zū|thuê từ, cho thuê, cho thuê lại.
足球|zúqiú|bóng đá
安全|ānquán|an toàn / bảo mật
报告|bàogào|lập báo cáo/báo cáo
背|bèi|trở lại / đọc thuộc lòng
背|bēi|mang vác đồ vật trên lưng
遍|biàn|bộ phân loại cho thời gian
便当|biàndāng|Bento (bữa ăn đựng trong hộp chia ngăn), hộp cơm trưa
饼干|bǐnggān|bánh quy, bánh cracker
必须/须|bìxū/xū|phải, cần thiết, nhất thiết
毕业|bìyè|tốt nghiệp
不必|bùbì|không cần, không bắt buộc, không cần thiết
不但|bùdàn|không chỉ
不同|bùtóng|khác nhau, không giống nhau / sự khác biệt
不用|bùyòng|không cần, không bắt buộc, không cần thiết
草莓|cǎoméi|quả dâu
厕所|cèsuǒ|nhà vệ sinh
查|chá|Tra cứu, kiểm tra, tìm kiếm
城市/城|chéngshì/chéng|thành phố
迟到|chídào|đến muộn
船|chuán|tàu, thuyền
传统|chuántǒng|truyền thống / truyền thống
厨房|chúfáng|phòng bếp
出国|chūguó|đi nước ngoài
出口|chūkǒu|thoát / xuất khẩu
出门|chūmén|đi ra ngoài, rời khỏi nhà
春节|Chūnjié|Tết Nguyên Đán Trung Quốc
词|cí|từ
搭|dā|lấy (phương tiện giao thông)
打工|dǎgōng|làm công việc tạm thời hoặc bán thời gian
打折|dǎzhé|giảm giá
大概|dàgài|có lẽ / khoảng / đại khái
大学生|dàxuéshēng|sinh viên đại học, sinh viên cao đẳng
到处|dàochù|khắp mọi nơi
电影院|diànyǐngyuàn|rạp chiếu phim
店员|diànyuán|nhân viên bán hàng, nhân viên bán hàng, trợ lý cửa hàng
订|dìng|để đặt chỗ
订位|dìngwèi|để đặt chỗ ngồi
地铁|dìtiě|tàu điện ngầm
丢|diū|mất / vứt bỏ / ném
底下|dǐxià|bên dưới, phía dưới
豆腐|dòufǔ|đậu phụ
豆浆|dòujiāng|sữa đậu nành
度|dù|bằng cấp
读书|dúshū|đọc, học tập
耳机|ěrjī|tai nghe, headphone
而且/且|érqiě/qiě|hơn nữa, và, hơn thế nữa
放假|fàngjià|để có một kỳ nghỉ hoặc thời gian nghỉ mát
番茄|fānqié|cà chua
发生|fāshēng|Xảy ra, diễn ra, xảy đến
肥皂|féizào|xà phòng
封|fēng|bộ phân loại cho chữ cái
凤梨|fènglí|quả dứa
服务|fúwù|phục vụ / cung cấp dịch vụ
父母|fùmǔ|cha mẹ
父亲|fùqīn|bố
干|gān|thực phẩm khô / sấy khô
刚才|gāngcái|vừa nãy
赶快|gǎnkuài|Nhanh lên, mau lên
逛|guàng|đi dạo, tham quan
逛街|guàngjiē|đi dạo trên phố, đi mua sắm
关系|guānxì|mối quan hệ, mối liên hệ
关心|guānxīn|quan tâm/chăm sóc
还好|háihǎo|may mắn thay
海鲜|hǎixiān|hải sản
寒假|hánjià|kỳ nghỉ đông
汉字|hànzì|Chữ Hán
好处|hǎochù|lợi ích
黑板|hēibǎn|bảng đen
花|huā|chi tiêu, tốn kém
坏处|huàichù|điều bất lợi
环境|huánjìng|môi trường, xung quanh
换|huàn|Trao đổi / Thay đổi, chuyển đổi
华语|Huáyǔ|Trung Quốc
回答/答|huídá/dá|Trả lời, đáp lại / hồi đáp, trả lời
回信|huíxìn|thư hồi đáp / để trả lời, để viết thư hồi đáp
或者/或|huòzhě/huò|hoặc
急|jí|vội vàng / lo lắng
假|jià|kỳ nghỉ, nghỉ phép
酱|jiàng|Nước sốt, gia vị/mứt
简讯|jiǎnxùn|tin nhắn
交通|jiāotōng|giao thông, vận tải
教育|jiàoyù|giáo dục / để giáo dục
加上|jiāshàng|cộng thêm vào
机车|jīchē|xe máy, xe tay ga
季节/季|jìjié/jì|mùa
结婚|jiéhūn|kết hôn
捷运|jiéyùn|tàu điện ngầm, MRT
橘子|júzi|quýt
开心|kāixīn|vui mừng
看起来|kànqǐlái|Nó trông như thế nào
颗|kē|Bộ phân loại dành cho các vật thể nhỏ như hình cầu, ngọc trai, hạt ngô, răng, trái tim, vệ tinh, v.v.
可怕|kěpà|khủng khiếp, đáng sợ
客满|kèmǎn|đã kín chỗ
空|kōng|trống
口|kǒu|1.        bộ phân loại cho thành viên gia đình / 2.một miếng cắn của
口袋|kǒudài|túi
垃圾|lèsè|rác thải, rác rưởi
凉快|liángkuài|mát mẻ
立刻|lìkè|ngay lập tức
零钱|língqián|tiền lẻ, đồng xu
另外/另|lìngwài/lìng|riêng biệt / ngoài ra, bên cạnh đó, hơn nữa / cái kia, một cái khác
邻居|línjū|hàng xóm
历史|lìshǐ|lịch sử
留|liú|ở lại, rời đi / để lại (một tin nhắn) / ở lại, giữ lại
流汗|liúhàn|đổ mồ hôi
流行|liúxíng|(Đối với một kiểu trang phục, bài hát, v.v.) phổ biến
礼物|lǐwù|quà tặng
例子/例|lìzi/lì|ví dụ
乱|luàn|lộn xộn, bừa bộn, hỗn loạn, / tùy tiện, ngẫu nhiên
满|mǎn|đầy đủ / đạt đến một số lượng
芒果|mángguǒ|quả xoài
毛巾|máojīn|cái khăn lau
毛衣|máoyī|áo len
梦|mèng|một giấc mơ / mơ
摩托车|mótuōchē|xe máy, xe tay ga
母亲|mǔqīn|mẹ
木瓜|mùguā|đu đủ
沐浴乳|mùyùrǔ|sữa tắm
闹钟|nàozhōng|đồng hồ báo thức
那样|nàyàng|kiểu như thế, kiểu như vậy / theo cách đó, để
内|nèi|bên trong, ở / trong phạm vi
年纪|niánjì|tuổi
牛排|niúpái|bít tết
弄|nòng|làm/tìm ra
拍|pāi|chụp (ảnh/ phim)
拍照|pāizhào|chụp ảnh
排队|páiduì|xếp hàng
泡|pào|đổ vào nước sôi / tắm trong
泡面|pàomiàn|mì ăn liền
爬山|páshān|Đi bộ đường dài, leo núi.
陪|péi|để kèm theo
皮鞋|píxié|giày da
破|pò|vỡ
葡萄|pútáo|quả nho
签证|qiānzhèng|visa
巧克力|qiǎokèlì|sôcôla
轻松|qīngsōng|Để cảm thấy thoải mái và thư giãn / Để cảm thấy đơn giản và dễ dàng
请客|qǐngkè|Mời ai đó và trả tiền cho họ.
认真|rènzhēn|nghiêm túc
入口|rùkǒu|cổng vào
伞|sǎn|Chiếc ô
沙发|shāfā|ghế sofa
沙拉|shālā|xa lát
上床|shàngchuáng|đi ngủ
生活|shēnghuó|cuộc sống / để sống
生意|shēngyì|việc kinh doanh
湿|shī|ướt
食物|shíwù|đồ ăn
适合|shìhé|cho phù hợp, vừa vặn
收|shōu|Nhận/cất thứ gì đó đi, thu gom lại,
手套|shǒutào|găng tay)
帅|shuài|đẹp trai
刷卡|shuākǎ|Thanh toán bằng thẻ tín dụng / Quẹt thẻ
暑假|shǔjià|kỳ nghỉ hè
死|sǐ|chết / cực kỳ
速食|sùshí|thức ăn nhanh
台风|táifēng|bão
太阳|tàiyáng|mặt trời
台语|Táiyǔ|Tiếng Nam Dân Đài Loan
糖果|tángguǒ|kẹo, bánh kẹo
套|tào|bộ
提|tí|mang (treo) xuống từ tay / lấy ra (tiền)
停|tíng|dừng lại
停车场|tíngchēchǎng|bãi đậu xe
同意|tóngyì|đồng ý với
头痛|tóutòng|khó chịu
腿|tuǐ|chân
哇|wa/wā|Ồ!
忘记|wàngjì|quên
袜子|wàzi|tất
危险|wéixiǎn|nguy hiểm / rủi ro
卫生纸|wèishēngzhǐ|giấy vệ sinh
位子|wèizi|chỗ ngồi / vị trí
闻|wén|mùi
温泉|wēnquán|suối nước nóng
文法|wénfǎ|ngữ pháp
乌龙茶|wūlóngchá|trà ô long
无聊|wúliáo|buồn chán / cảm thấy buồn chán
舞|wǔ|nhảy
相当|xiāngdāng|từ bỏ
消息|xiāoxí|tin tức, thông tin
校园|xiàoyuán|khuôn viên đại học
洗发精|xǐfǎjīng|dầu gội đầu
行李|xínglǐ|hành lý
兴趣|xìngqù|quan tâm
新闻|xīnwén|tin tức
新鲜|xīnxiān|Tươi mát (trái cây, thực phẩm, không khí, v.v.)
信箱|xìnxiāng|hộp thư
兄弟|xiōngdì|anh em
洗衣机|xǐyījī|máy giặt
选|xuǎn|Chọn, lựa chọn, lấy
学期|xuéqí|học kỳ
学生证|xuéshēngzhèng|thẻ sinh viên
牙膏|yágāo|kem đánh răng
盐|yán|muối
洋葱|yángcōng|củ hành
研究|yánjiù|Nghiên cứu, học tập
样|yàng|loại, kiểu
钥匙|yàoshi|chìa khóa
牙刷|yáshuā|bàn chải đánh răng
已|yǐ|đã
影响|yǐngxiǎng|ảnh hưởng/tác động
饮料|yǐnliào|đồ uống, thức uống
油|yóu|mỡ, dầu mỡ, dầu mỡ / dầu, xăng / béo ngậy, nhiều dầu mỡ, nhiều chất béo
邮件|yóujiàn|thư
游戏|yóuxì|trò chơi
有趣|yǒuqù|hấp dẫn
越|yuè|ngày càng nhiều
雨伞|yǔsǎn|Chiếc ô
雨衣|yǔyī|áo mưa, quần áo đi mưa
浴室|yùshì|phòng tắm
脏|zāng|bẩn thỉu
长大|zhǎngdà|để lớn lên
照顾|zhàogù|chăm sóc / đang chăm sóc
这样|zhèyàng|kiểu này, như thế này, theo cách này, để
直接|zhíjiē|trực tiếp
只好|zhǐhǎo|không còn lựa chọn nào khác ngoài việc
只要|zhǐyào|miễn là
中心|zhōngxīn|trung tâm / trung tâm thể chế
周|zhōu|tuần
装|zhuāng|để đóng gói
资料|zīliào|thông tin, tài liệu
自行车|zìxíngchē|xe đạp
最好|zuìhǎo|(Bạn) nên làm tốt hơn
做法/作法|zuòfǎ|cách xử lý hoặc thực hiện điều gì đó
班次|bāncì|số chuyến bay
办|bàn|để đối phó, để chuẩn bị
半夜|bànyè|nửa đêm
包括|bāokuò|bao gồm
保护|bǎohù|để bảo vệ
倍|bèi|lần
标准|biāozhǔn|tiêu chuẩn / (một) tiêu chuẩn, quy chuẩn, tiêu chí
鼻水|bíshuǐ|dịch mũi, nước mũi
伯父|bófù|chú 
伯母|bómǔ|dì
步|bù|nhịp độ
不停|bùtíng|không ngừng nghỉ
不得了|bùdéliǎo|cực kỳ, khủng khiếp, tồi tệ
不管|bùguǎn|bất kể
参观|cānguān|để ngắm nhìn xung quanh
餐桌|cānzhuō|bàn ăn
层|céng|bộ phân loại cho sàn/lớp
差|chā|ngắn, kém / sự khác biệt giữa
吵|chǎo|ồn ào / cãi nhau / làm phiền bằng cách gây tiếng ồn
乘|chéng|nhân
程度|chéngdù|bằng cấp, trình độ
成功|chénggōng|Thành công, đạt được thành công
除|chú|chia cho
除了|chúle|ngoại trừ, bên cạnh đó, ngoài ra
传|chuán|chuyển giao / giao nộp, gửi
春季|chūnjì|mùa xuân (thời gian)
春假|chūnjià|kỳ nghỉ xuân
出生|chūshēng|được sinh ra
除夕|Chúxì|Đêm giao thừa Tết Nguyên đán
从来|cónglái|từ đó đến nay
存|cún|Gửi vào/lưu giữ, cất giữ (trong kho lưu trữ)
答案|dá'àn|trả lời
带来|dàilái|để mang lại
大陆|dàlù|lục địa, đại lục / Trung Quốc đại lục
当时|dāngshí|sau đó, vào thời điểm đó
当中|dāngzhōng|trong số, ở giữa
担心|dānxīn|để lo lắng về
得到|dédào|để có được
等/等等|děng/děngděng|vân vân và vân vân
等到|děngdào|đợi cho đến khi, vào thời điểm đó, khi
低头|dītóu|cúi đầu
底|dǐ|cuối tháng hoặc cuối năm
地点|dìdiǎn|vị trí
东方|dōngfāng|phía đông
动|dòng|di chuyển / chạm vào
豆/豆子|dòu/dòuzi|đậu
朵|duǒ|bộ phân loại cho hoa
多么|duóme|Làm sao
法律|fǎlǜ|pháp luật
烦|fán|bực bội, khó chịu / làm phiền
方|fāng|hướng, địa điểm
方面|fāngmiàn|diện mạo
方向|fāngxiàng|phương hướng
房|fáng|phòng
房屋|fángwū|căn nhà
放心|fàngxīn|Cảm thấy nhẹ nhõm, cảm thấy yên tâm
发烧|fāshāo|sốt
改|gǎi|Thay đổi / chấm điểm (bài luận, bài tập) / sửa lỗi (phát âm)
刚好|gānghǎo|phù hợp / chính xác
感觉|gǎnjué|cảm nhận / nhận thức được, cảm thấy
高级|gāojí|trình độ cao
公路|gōnglù|đường cao tốc, đường quốc lộ
工人|gōngrén|công nhân
光|guāng|để kết thúc
姑姑/姑|gūgu/gū|chị gái của bố
姑妈|gūmā|dì của bố
柜子/柜|guìzi/guì|tủ, tủ ngăn kéo
国小|guóxiǎo|trường tiểu học (Đài Loan)
害怕|hàipà|sợ hãi, lo sợ
汗|hàn|mồ hôi, mồ hôi
合适|héshì|phù hợp, thích hợp
合作|hézuò|hợp tác / sự hợp tác
画家|huàjiā|họa sĩ
环保|huánbǎo|bảo vệ môi trường
极|jí|rất, cực kỳ
加班|jiābān|làm thêm giờ
家具|jiājù|nội thất
减|jiǎn|trừ đi
建议|jiànyì|đề xuất, khuyến nghị / đề nghị, gợi ý
教授|jiàoshòu|giáo sư
教书|jiāoshū|để dạy
叫做|jiàozuò|được gọi là
假日|jiàrì|ngày lễ
接着|jiēzhe|sau đó
结果|jiéguǒ|kết quả / cuối cùng
结束|jiéshù|kết thúc
节日|jiérì|lễ hội
经常|jīngcháng|thường xuyên, liên tục, đều đặn, thường trực
精神|jīngshén|năng lượng
金色|jīnsè|vàng (màu)
居留证|jūliúzhèng|giấy chứng nhận cư trú
开会|kāihuì|tổ chức một cuộc họp
开玩笑|kāi wánxiào|để chơi khăm
看法|kànfǎ|quan điểm, ý kiến
咳|ké|ho
咳嗽|késòu|ho
可惜|kěxí|Thật đáng tiếc, thật đáng tiếc, không may thay
困难|kùnnán|khó khăn / độ khó
篮子|lánzi|rổ
老板娘|lǎobǎnniáng|chủ sở hữu nữ hoặc vợ của chủ sở hữu nam
老太太|lǎotàitai|bà cụ
类|lèi|bộ phân loại cho loại
连|lián|để kết nối / thậm chí
脸色|liǎnsè|màu da
凉|liáng|mát mẻ
了解|liǎojiě|Để hiểu, để nắm bắt/hiểu biết
礼貌|lǐmào|lịch sự
零用钱|língyòngqián|tiền tiêu vặt
例如|lìrú|ví dụ, chẳng hạn như
流|liú|để chảy
留下|liúxià|rời khỏi
利用|lìyòng|để tận dụng
毛|máo|lông động vật
美丽|měilì|xinh đẹp
没想到|méi xiǎngdào|không ngờ tới
米|mǐ|cơm
母语|mǔyǔ|ngôn ngữ mẹ đẻ
目的|mùdì|mục đích
爬|pá|leo trèo / bò
派对|pàiduì|buổi tiệc
拼音|pīnyīn|phiên âm ngữ âm, bính âm
其实|qíshí|Thực ra
其中|qízhōng|trong số đó, trong
起|qǐ|từ (thời gian)
浅|qiǎn|nông/nhạt (màu sắc)
晴天|qíngtiān|ngày nắng
情形|qíngxíng|tình huống
热闹|rènào|nhộn nhịp, ồn ào và náo nhiệt, sống động
日记|rìjì|nhật ký
日子|rìzi|ngày (lịch)
散步|sànbù|đi dạo
商人|shāngrén|doanh nhân, thương nhân
上衣|shàngyī|áo khoác ngoài phía trên
社会|shèhuì|xã hội
深|shēn|đậm / (của một màu) tối
身边|shēnbiān|bên cạnh một người
身高|shēngāo|Chiều cao
圣诞老人|Shèngdàn Lǎorén|Ông già Noel
生活费|shēnghuófèi|chi phí sinh hoạt, phí quản lý sinh hoạt, tiền cấp dưỡng
时|shí|giờ
时差|shíchā|Chênh lệch múi giờ, mệt mỏi do lệch múi giờ
时钟/钟|shízhōng/zhōng|cái đồng hồ
市区|shìqū|trung tâm thành phố
熟|shóu|đã nấu chín (thức ăn) / chín (trái cây), chín (hạt) / quen thuộc
数|shǔ|đếm
刷|shuā|dùng bàn chải để làm sạch
书法|shūfǎ|thư pháp
书架|shūjià|giá sách, kệ sách
书桌|shūzhuō|bàn làm việc
睡衣|shuìyī|đồ ngủ
速度|sùdù|tốc độ
孙女|sūnnǚ|cháu gái
孙子|sūnzi|cháu trai
锁|suǒ|khóa / để khóa
谈|tán|Nói chuyện, bàn luận, thảo luận
讨论|tǎolùn|để thảo luận / bàn luận
套餐|tàocān|suất ăn
题|tí|bộ phân loại cho các câu hỏi kiểm tra
题目|tímù|chủ đề, tiêu đề, câu hỏi kiểm tra
厅|tīng|sảnh
同班|tóngbān|học cùng lớp
同时|tóngshí|đồng thời / cũng
同样|tóngyàng|như nhau
偷|tōu|để ăn cắp
拖鞋|tuōxié|dép đi trong nhà
外公/外祖父|wàigong/wàizǔfù|cha của mẹ
外婆/外祖母|wàipó/wàizǔmǔ|mẹ của mẹ
完|wán|hoàn toàn, trọn vẹn
完全|wánquán|hoàn toàn
蚊子|wénzi|muỗi
卧房|wòfáng|phòng ngủ
卧室|wòshì|phòng ngủ
污染|wūrǎn|gây ô nhiễm / sự ô nhiễm
现代|xiàndài|thời hiện đại
香味|xiāngwèi|hương thơm
乡下|xiāngxià|nông thôn
箱子/箱|xiāngzi/xiāng|hộp / bộ phân loại cho hộp
小费|xiǎofèi|mẹo
信封|xìnfēng|phong bì
星星|xīngxing|ngôi sao
心情|xīnqíng|tâm trạng
选择|xuǎnzé|lựa chọn, chọn lựa / sự lựa chọn
许多|xǔduō|nhiều, rất nhiều
眼|yǎn|cái nhìn thoáng qua
严重|yánzhòng|nghiêm trọng
药房|yàofáng|nhà thuốc
药局|yàojú|nhà thuốc
要求|yāoqiú|yêu cầu, đòi hỏi, hỏi/yêu cầu
也许|yěxǔ|có lẽ, có thể
夜|yè|đêm
夜晚|yèwǎn|đêm
一般|yībān|phổ biến, thông thường / nói chung
一切|yīqiè|tất cả mọi thứ, tất cả
衣架|yījià|móc treo áo khoác
以上|yǐshàng|bên trên
以下|yǐxià|bên dưới, phía dưới
意见|yìjiàn|đề xuất, ý kiến
阴天|yīntiān|ngày nhiều mây
尤其|yóuqí|đặc biệt, nhất là
圆|yuán|hình tròn / tròn
原来|yuánlái|nguyên bản
原因|yuányīn|lý do, nguyên nhân
院子/院|yuànzi/yuàn|sân
约|yuē|làm việc gì đó với ai đó
约会|yuēhuì|hẹn hò / ngày tháng
月亮|yuèliàng|mặt trăng
#VALUE!
早点|zǎodiǎn|bữa sáng
杂志|zázhì|tạp chí
整|zhěng|trọn
正|zhèng|trong khi
正常|zhèngcháng|Bình thường
正好|zhènghǎo|Vừa phải, vừa đủ.
正式|zhèngshì|trang trọng, chính thức
枕头|zhěntou|cái gối
汁|zhī|nước ép
知识|zhīshì|kiến thức
钟|zhōng|chuông
中式|zhōngshì|phong cách Trung Quốc
中学|zhōngxué|trường trung học cơ sở, trường trung học phổ thông
抓|zhuā|nắm lấy, giữ lấy
主人|zhǔrén|chủ sở hữu / người chủ nhà
住址|zhùzhǐ|Địa chỉ
子|zǐ|con trai
自然|zìrán|tự nhiên
自由|zìyóu|tự do / quyền tự do
座|zuò|Bộ phân loại dành cho núi, sân bay, tòa nhà lớn, thành phố…v.v.
座位|zuòwèi|ghế
做到|zuòdào|đạt được
做生意|zuòshēngyì|để kinh doanh
作文|zuòwén|bố cục
左右|zuǒyòu|khoảng, xung quanh
爱好|àihào|Thích; yêu thích; thích thú; đam mê/quan tâm; sở thích.
爱心|àixīn|lòng thương cảm/lòng tốt/sự quan tâm đến người khác/tình yêu/CL:片[pian4]/từ thiện (chợ phiên, ngày chơi golf, v.v.)/trái tim (biểu tượng ♥)
哎呀|āiya|[āiyā] thán từ biểu thị sự ngạc nhiên, kinh ngạc hoặc ngưỡng mộ
哎哟|āiyāo|[āiyō] hey/ow/ouch/thán từ biểu thị đau đớn hoặc ngạc nhiên
安排|ānpái|Sắp xếp/Lập kế hoạch/Thiết lập/Các sự sắp xếp/Kế hoạch
按|àn|Nhấn/đẩy/gạt sang một bên hoặc cất vào kệ/kiểm soát/kiềm chế/giữ tay trên/kiểm tra hoặc tham khảo/theo/dựa trên/(của biên tập viên hoặc tác giả) đưa ra nhận xét
按照|ànzhào|theo/phù hợp với/dựa trên/trên cơ sở
摆|bǎi|sắp xếp/trưng bày/di chuyển qua lại/một con lắc
半天|bàntiān|nửa ngày/một khoảng thời gian dài/khá lâu/giữa không trung
抱|bào|Giữ/mang (trong vòng tay)/ôm/vòng tay/bao quanh/trân trọng/(thông tục) (đối với quần áo) vừa vặn
抱怨|bàoyuàn|phàn nàn/than phiền/giữ trong lòng sự bất mãn/cảm thấy không hài lòng
笨蛋|bèndàn|kẻ ngốc/kẻ đần độn
比如说/比如|bǐrúshuō/bǐrú|比如 [bǐrú] ví dụ/chẳng hạn như<br> 比如說 [bǐrúshuō] chẳng hạn
必需|bìxū|cần/yêu cầu/thiết yếu/không thể thiếu
必要|bìyào|cần thiết/thiết yếu/không thể thiếu/bắt buộc
变成|biànchéng|biến đổi thành/trở thành/trở thành
变化|biànhuà|(nội động từ) thay đổi; biến đổi; sự biến đổi
表|biǎo|bề mặt bên ngoài/mối quan hệ gia đình thông qua phụ nữ/để thể hiện (ý kiến ​​của một người)/một mô hình/một bảng (liệt kê thông tin)/một biểu mẫu/một thước đo (đo lường cái gì đó)
表情|biǎoqíng|(biểu cảm) trên khuôn mặt/thể hiện cảm xúc
并且|bìngqiě|và; ngoài ra; hơn nữa; thêm vào đó;
不得不|bùdébù|không còn lựa chọn nào khác ngoài việc/không thể không/phải làm/không thể không làm/không thể tránh khỏi
不断|bùduàn|không ngừng/không gián đoạn/liên tục/không đổi
不论|bùlùn|bất kể/cho dù thế nào đi nữa (ai, như thế nào, v.v.)/không quan tâm đến/không bàn luận
不如|bùrú|không bằng/không tốt bằng/kém hơn/sẽ tốt hơn nếu
